KPI Name,Value,Date,Notes,Chart Type,Category
Metric Number 13,867,2024-10-20,,,
Metric Number 13,850,2024-10-27,,,
Metric Number 13,947,2024-11-04,,,
Metric Number 13,923,2024-11-11,,,
Metric Number 13,873,2024-11-18,Note for metric 13,,
Metric Number 14,277,2024-10-13,,,
Metric Number 14,283,2024-10-20,,,
Metric Number 14,264,2024-10-27,,,
Metric Number 14,301,2024-11-04,,,
Metric Number 14,314,2024-11-11,,,
Metric Number 14,291,2024-11-18,Note for metric 14,,
Metric Number 15,1022,2024-10-13,,,
Metric Number 15,876,2024-10-20,,,
Metric Number 15,1009,2024-10-27,,,
Metric Number 15,922,2024-11-04,,,
Metric Number 15,932,2024-11-11,,,
Metric Number 15,964,2024-11-18,Note for metric 15,,
Metric Number 16,646,2024-10-13,,,
Metric Number 16,651,2024-10-20,,,
Metric Number 16,573,2024-10-27,,,
Metric Number 16,567,2024-11-04,,,
Metric Number 16,572,2024-11-11,,,
Metric Number 16,600,2024-11-18,Note for metric 16,,
Metric Number 17,74,2024-10-13,,,
Metric Number 17,70,2024-10-20,,,
Metric Number 17,79,2024-10-27,,,
Metric Number 17,80,2024-11-04,,,
Metric Number 17,70,2024-11-11,,,
Metric Number 17,76,2024-11-18,Note for metric 17,,
Metric Number 18,576,2024-10-13,,,
Metric Number 18,684,2024-10-20,,,
Metric Number 18,571,2024-10-27,,,
Metric Number 18,588,2024-11-04,,,
Metric Number 18,586,2024-11-11,,,
Metric Number 18,633,2024-11-18,Note for metric 18,,
Metric Number 19,215,2024-10-13,,,
Metric Number 19,220,2024-10-20,,,
Metric Number 19,234,2024-10-27,,,
Metric Number 19,230,2024-11-04,,,
Metric Number 19,214,2024-11-11,,,
Metric Number 19,218,2024-11-18,Note for metric 19,,
Metric Number 20,888,2024-10-13,,,
Metric Number 20,1052,2024-10-20,,,
Metric Number 20,928,2024-10-27,,,
Metric Number 20,1045,2024-11-04,,,
Metric Number 20,930,2024-11-11,,,
Metric Number 20,987,2024-11-18,Note for metric 20,,
Metric Number 21,949,2024-10-13,,,
Metric Number 21,1038,2024-10-20,,,
Metric Number 21,988,2024-10-27,,,
Metric Number 21,954,2024-11-04,,,
Metric Number 21,1022,2024-11-11,,,
Metric Number 21,953,2024-11-18,Note for metric 21,,
Metric Number 22,349,2024-10-13,,,
Metric Number 22,392,2024-10-20,,,
Metric Number 22,377,2024-10-27,,,
Metric Number 22,336,2024-11-04,,,
Metric Number 22,368,2024-11-11,,,
Metric Number 22,362,2024-11-18,Note for metric 22,,
Metric Number 23,602,2024-10-13,,,
Metric Number 23,537,2024-10-20,,,
Metric Number 23,601,2024-10-27,,,
Metric Number 23,527,2024-11-04,,,
Metric Number 23,608,2024-11-11,,,
Metric Number 23,554,2024-11-18,Note for metric 23,,
Metric Number 24,823,2024-10-13,,,
Metric Number 24,754,2024-10-20,,,
Metric Number 24,836,2024-10-27,,,
Metric Number 24,735,2024-11-04,,,
Metric Number 24,837,2024-11-11,,,
Metric Number 24,764,2024-11-18,Note for metric 24,,
Metric Number 25,972,2024-10-13,,,
Metric Number 25,998,2024-10-20,,,
Metric Number 25,894,2024-10-27,,,
Metric Number 25,893,2024-11-04,,,
Metric Number 25,891,2024-11-11,,,
Metric Number 25,917,2024-11-18,Note for metric 25,,
Metric Number 26,123,2024-10-13,,,
Metric Number 26,124,2024-10-20,,,
Metric Number 26,126,2024-10-27,,,
Metric Number 26,123,2024-11-04,,,
Metric Number 26,125,2024-11-11,,,
Metric Number 26,136,2024-11-18,Note for metric 26,,
Metric Number 27,480,2024-10-13,,,
Metric Number 27,433,2024-10-20,,,
Metric Number 27,490,2024-10-27,,,
Metric Number 27,431,2024-11-04,,,
Metric Number 27,420,2024-11-11,,,
Metric Number 27,454,2024-11-18,Note for metric 27,,
Metric Number 28,103,2024-10-13,,,
Metric Number 28,94,2024-10-20,,,
Metric Number 28,100,2024-10-27,,,
Metric Number 28,96,2024-11-04,,,
Metric Number 28,100,2024-11-11,,,
Metric Number 28,104,2024-11-18,Note for metric 28,,
Metric Number 29,551,2024-10-13,,,
Metric Number 29,537,2024-10-20,,,
Metric Number 29,548,2024-10-27,,,
Metric Number 29,534,2024-11-04,,,
Metric Number 29,492,2024-11-11,,,
Metric Number 29,519,2024-11-18,Note for metric 29,,
Metric Number 30,303,2024-10-13,,,
Metric Number 30,307,2024-10-20,,,
Metric Number 30,323,2024-10-27,,,
Metric Number 30,345,2024-11-04,,,
Metric Number 30,321,2024-11-11,,,
Metric Number 30,328,2024-11-18,Note for metric 30,,
Metric Number 31,351,2024-10-13,,,
Metric Number 31,387,2024-10-20,,,
Metric Number 31,390,2024-10-27,,,
Metric Number 31,386,2024-11-04,,,
Metric Number 31,407,2024-11-11,,,
Metric Number 31,377,2024-11-18,Note for metric 31,,
Metric Number 32,939,2024-10-13,,,
Metric Number 32,889,2024-10-20,,,
Metric Number 32,859,2024-10-27,,,
Metric Number 32,989,2024-11-04,,,
Metric Number 32,944,2024-11-11,,,
Metric Number 32,924,2024-11-18,Note for metric 32,,
Metric Number 33,291,2024-10-13,,,
Metric Number 33,295,2024-10-20,,,
Metric Number 33,263,2024-10-27,,,
Metric Number 33,296,2024-11-04,,,
Metric Number 33,278,2024-11-11,,,
Metric Number 33,270,2024-11-18,Note for metric 33,,
Metric Number 34,60,2024-10-13,,,
Metric Number 34,58,2024-10-20,,,
Metric Number 34,62,2024-10-27,,,
Metric Number 34,55,2024-11-04,,,
Metric Number 34,66,2024-11-11,,,
Metric Number 34,61,2024-11-18,Note for metric 34,,
Metric Number 35,714,2024-10-13,,,
Metric Number 35,784,2024-10-20,,,
Metric Number 35,788,2024-10-27,,,
Metric Number 35,830,2024-11-04,,,
Metric Number 35,817,2024-11-11,,,
Metric Number 35,761,2024-11-18,Note for metric 35,,
Metric Number 36,768,2024-10-13,,,
Metric Number 36,716,2024-10-20,,,
Metric Number 36,765,2024-10-27,,,
Metric Number 36,769,2024-11-04,,,
Metric Number 36,743,2024-11-11,,,
Metric Number 36,701,2024-11-18,Note for metric 36,,
Metric Number 37,871,2024-10-13,,,
Metric Number 37,898,2024-10-20,,,
Metric Number 37,1010,2024-10-27,,,
Metric Number 37,832,2024-11-04,,,
Metric Number 37,865,2024-11-11,,,
Metric Number 37,921,2024-11-18,Note for metric 37,,
Metric Number 38,206,2024-10-13,,,
Metric Number 38,198,2024-10-20,,,
Metric Number 38,198,2024-10-27,,,
Metric Number 38,192,2024-11-04,,,
Metric Number 38,182,2024-11-11,,,
Metric Number 38,198,2024-11-18,Note for metric 38,,
Metric Number 39,185,2024-10-13,,,
Metric Number 39,183,2024-10-20,,,
Metric Number 39,170,2024-10-27,,,
Metric Number 39,163,2024-11-04,,,
Metric Number 39,185,2024-11-11,,,
Metric Number 39,177,2024-11-18,Note for metric 39,,
Metric Number 40,401,2024-10-13,,,
Metric Number 40,420,2024-10-20,,,
Metric Number 40,407,2024-10-27,,,
Metric Number 40,362,2024-11-04,,,
Metric Number 40,362,2024-11-11,,,
Metric Number 40,402,2024-11-18,Note for metric 40,,
Metric Number 41,143,2024-10-13,,,
Metric Number 41,151,2024-10-20,,,
Metric Number 41,129,2024-10-27,,,
Metric Number 41,149,2024-11-04,,,
Metric Number 41,141,2024-11-11,,,
Metric Number 41,139,2024-11-18,Note for metric 41,,
Metric Number 42,641,2024-10-13,,,
Metric Number 42,616,2024-10-20,,,
Metric Number 42,654,2024-10-27,,,
Metric Number 42,635,2024-11-04,,,
Metric Number 42,632,2024-11-11,,,
Metric Number 42,632,2024-11-18,Note for metric 42,,
Metric Number 43,514,2024-10-13,,,
Metric Number 43,541,2024-10-20,,,
Metric Number 43,532,2024-10-27,,,
Metric Number 43,501,2024-11-04,,,
Metric Number 43,515,2024-11-11,,,
Metric Number 43,507,2024-11-18,Note for metric 43,,
Metric Number 44,115,2024-10-13,,,
Metric Number 44,111,2024-10-20,,,
Metric Number 44,120,2024-10-27,,,
Metric Number 44,115,2024-11-04,,,
Metric Number 44,112,2024-11-11,,,
Metric Number 44,122,2024-11-18,Note for metric 44,,
Metric Number 45,538,2024-10-13,,,
Metric Number 45,618,2024-10-20,,,
Metric Number 45,564,2024-10-27,,,
Metric Number 45,640,2024-11-04,,,
Metric Number 45,551,2024-11-11,,,
Metric Number 45,584,2024-11-18,Note for metric 45,,
Metric Number 46,666,2024-10-13,,,
Metric Number 46,739,2024-10-20,,,
Metric Number 46,730,2024-10-27,,,
Metric Number 46,692,2024-11-04,,,
Metric Number 46,713,2024-11-11,,,
Metric Number 46,732,2024-11-18,Note for metric 46,,
Metric Number 47,540,2024-10-13,,,
Metric Number 47,554,2024-10-20,,,
Metric Number 47,512,2024-10-27,,,
Metric Number 47,508,2024-11-04,,,
Metric Number 47,509,2024-11-11,,,
Metric Number 47,520,2024-11-18,Note for metric 47,,
Metric Number 48,124,2024-10-13,,,
Metric Number 48,123,2024-10-20,,,
Metric Number 48,109,2024-10-27,,,
Metric Number 48,119,2024-11-04,,,
Metric Number 48,116,2024-11-11,,,
Metric Number 48,118,2024-11-18,Note for metric 48,,
Metric Number 49,856,2024-10-13,,,
Metric Number 49,836,2024-10-20,,,
Metric Number 49,766,2024-10-27,,,
Metric Number 49,836,2024-11-04,,,
Metric Number 49,859,2024-11-11,,,
Metric Number 49,799,2024-11-18,Note for metric 49,,
Metric Number 50,478,2024-10-13,,,
Metric Number 50,478,2024-10-20,,,
Metric Number 50,479,2024-10-27,,,
Metric Number 50,471,2024-11-04,,,
Metric Number 50,552,2024-11-11,,,
Metric Number 50,513,2024-11-18,Note for metric 50,,
Project Status 1,At Risk,2024-11-18,Status update 1,,
Project Status 2,On Track,2024-11-18,Status update 2,,
Project Status 3,At Risk,2024-11-18,Status update 3,,
Project Status 4,On Track,2024-11-18,Status update 4,,
Project Status 5,Completed,2024-11-18,Status update 5,,
Project Status 6,On Track,2024-11-18,Status update 6,,
Project Status 7,Pending,2024-11-18,Status update 7,,
Project Status 8,Pending,2024-11-18,Status update 8,,
Project Status 9,On Track,2024-11-18,Status update 9,,
Project Status 10,At Risk,2024-11-18,Status update 10,,
Project Status 11,At Risk,2024-11-18,Status update 11,,
Project Status 12,Completed,2024-11-18,Status update 12,,
Project Status 13,Delayed,2024-11-18,Status update 13,,
Project Status 14,On Track,2024-11-18,Status update 14,,
Project Status 15,Pending,2024-11-18,Status update 15,,
Project Status 16,Pending,2024-11-18,Status update 16,,
Project Status 17,Delayed,2024-11-18,Status update 17,,
Project Status 18,At Risk,2024-11-18,Status update 18,,
Project Status 19,Completed,2024-11-18,Status update 19,,
Project Status 20,On Track,2024-11-18,Status update 20,,
Project Status 21,Pending,2024-11-18,Status update 21,,
Project Status 22,Pending,2024-11-18,Status update 22,,
Project Status 23,Completed,2024-11-18,Status update 23,,
Project Status 24,Delayed,2024-11-18,Status update 24,,
Project Status 25,Delayed,2024-11-18,Status update 25,,
Project Status 26,At Risk,2024-11-18,Status update 26,,
Project Status 27,At Risk,2024-11-18,Status update 27,,
Project Status 28,Completed,2024-11-18,Status update 28,,
Project Status 29,At Risk,2024-11-18,Status update 29,,
Project Status 30,On Track,2024-11-18,Status update 30,,
Project Status 31,Delayed,2024-11-18,Status update 31,,
Project Status 32,Pending,2024-11-18,Status update 32,,
Project Status 33,Pending,2024-11-18,Status update 33,,
Project Status 34,Completed,2024-11-18,Status update 34,,
Project Status 35,Delayed,2024-11-18,Status update 35,,
Project Status 36,On Track,2024-11-18,Status update 36,,
Project Status 37,Completed,2024-11-18,Status update 37,,
Project Status 38,On Track,2024-11-18,Status update 38,,
Project Status 39,Delayed,2024-11-18,Status update 39,,
Project Status 40,Completed,2024-11-18,Status update 40,,
Project Status 41,Completed,2024-11-18,Status update 41,,
Project Status 42,Pending,2024-11-18,Status update 42,,
Project Status 43,At Risk,2024-11-18,Status update 43,,
Project Status 44,Completed,2024-11-18,Status update 44,,
Project Status 45,Delayed,2024-11-18,Status update 45,,
Project Status 46,On Track,2024-11-18,Status update 46,,
Project Status 47,Pending,2024-11-18,Status update 47,,
Project Status 48,Delayed,2024-11-18,Status update 48,,
Project Status 49,Completed,2024-11-18,Status update 49,,
Project Status 50,Pending,2024-11-18,Status update 50,,
Server Load 1,51.02,2024-08-01,,line,
Server Load 1,46.69,2024-08-02,,line,
Server Load 1,51.04,2024-08-03,,line,
Server Load 1,48.16,2024-08-04,,line,
Server Load 1,47.11,2024-08-05,,line,
Server Load 1,45.99,2024-08-06,,line,
Server Load 1,43.84,2024-08-07,,line,
Server Load 1,39.17,2024-08-08,,line,
Server Load 1,41.72,2024-08-09,,line,
Server Load 1,45.11,2024-08-10,,line,
Server Load 1,47.20,2024-08-11,,line,
Server Load 1,43.42,2024-08-12,,line,
Server Load 1,41.01,2024-08-13,,line,
Server Load 1,40.11,2024-08-14,,line,
Server Load 1,43.15,2024-08-15,,line,
Server Load 1,46.29,2024-08-16,,line,
Server Load 1,47.61,2024-08-17,,line,
Server Load 1,52.36,2024-08-18,,line,
Server Load 1,55.90,2024-08-19,,line,
Server Load 1,59.95,2024-08-20,,line,
Server Load 1,63.17,2024-08-21,,line,
Server Load 1,66.58,2024-08-22,,line,
Server Load 1,67.92,2024-08-23,,line,
Server Load 1,68.96,2024-08-24,,line,
Server Load 1,68.94,2024-08-25,,line,
Server Load 1,71.25,2024-08-26,,line,
Server Load 1,71.18,2024-08-27,,line,
Server Load 1,68.66,2024-08-28,,line,
Server Load 1,70.70,2024-08-29,,line,
Server Load 1,74.11,2024-08-30,,line,
Server Load 1,74.02,2024-08-31,,line,
Server Load 1,74.05,2024-09-01,,line,
Server Load 1,78.30,2024-09-02,,line,
Server Load 1,80.77,2024-09-03,,line,
Server Load 1,80.25,2024-09-04,,line,
Server Load 1,83.43,2024-09-05,,line,
Server Load 1,84.24,2024-09-06,,line,
Server Load 1,86.65,2024-09-07,,line,
Server Load 1,84.91,2024-09-08,,line,
Server Load 1,80.85,2024-09-09,,line,
Server Load 1,80.53,2024-09-10,,line,
Server Load 1,82.51,2024-09-11,,line,
Server Load 1,78.02,2024-09-12,,line,
Server Load 1,75.68,2024-09-13,,line,
Server Load 1,74.50,2024-09-14,,line,
Server Load 1,77.62,2024-09-15,,line,
Server Load 1,80.53,2024-09-16,,line,
Server Load 1,81.17,2024-09-17,,line,
Server Load 1,79.42,2024-09-18,,line,
Server Load 1,79.87,2024-09-19,,line,
Server Load 1,80.18,2024-09-20,,line,
Server Load 1,83.89,2024-09-21,,line,
Server Load 1,83.91,2024-09-22,,line,
Server Load 1,79.65,2024-09-23,,line,
Server Load 1,80.69,2024-09-24,,line,
Server Load 1,80.65,2024-09-25,,line,
Server Load 1,80.33,2024-09-26,,line,
Server Load 1,77.20,2024-09-27,,line,
Server Load 1,74.22,2024-09-28,,line,
Server Load 1,70.75,2024-09-29,,line,
Server Load 1,75.58,2024-09-30,,line,
Server Load 1,73.63,2024-10-01,,line,
Server Load 1,77.07,2024-10-02,,line,
Server Load 1,80.24,2024-10-03,,line,
Server Load 1,78.62,2024-10-04,,line,
Server Load 1,78.81,2024-10-05,,line,
Server Load 1,83.77,2024-10-06,,line,
Server Load 1,86.76,2024-10-07,,line,
Server Load 1,90.54,2024-10-08,,line,
Server Load 1,88.50,2024-10-09,,line,
Server Load 1,92.76,2024-10-10,,line,
Server Load 1,96.36,2024-10-11,,line,
Server Load 1,92.22,2024-10-12,,line,
Server Load 1,97.07,2024-10-13,,line,
Server Load 1,96.31,2024-10-14,,line,
Server Load 1,95.93,2024-10-15,,line,
Server Load 1,100.00,2024-10-16,,line,
Server Load 1,100.00,2024-10-17,,line,
Server Load 1,95.16,2024-10-18,,line,
Server Load 1,99.96,2024-10-19,,line,
Server Load 1,95.68,2024-10-20,,line,
Server Load 1,100.00,2024-10-21,,line,
Server Load 1,100.00,2024-10-22,,line,
Server Load 1,99.84,2024-10-23,,line,
Server Load 1,96.25,2024-10-24,,line,
Server Load 1,92.07,2024-10-25,,line,
Server Load 1,93.78,2024-10-26,,line,
Server Load 1,91.58,2024-10-27,,line,
Server Load 1,94.15,2024-10-28,,line,
Server Load 1,94.89,2024-10-29,,line,
Server Load 1,96.70,2024-10-30,,line,
Server Load 1,99.99,2024-10-31,,line,
Server Load 1,100.00,2024-11-01,,line,
Server Load 1,100.00,2024-11-02,,line,
Server Load 1,100.00,2024-11-03,,line,
Server Load 1,96.54,2024-11-04,,line,
Server Load 1,92.75,2024-11-05,,line,
Server Load 1,90.90,2024-11-06,,line,
Server Load 1,89.54,2024-11-07,,line,
Server Load 1,92.95,2024-11-08,,line,
Server Load 2,49.16,2024-08-01,,line,
Server Load 2,47.02,2024-08-02,,line,
Server Load 2,51.51,2024-08-03,,line,
Server Load 2,50.87,2024-08-04,,line,
Server Load 2,48.97,2024-08-05,,line,
Server Load 2,46.38,2024-08-06,,line,
Server Load 2,41.40,2024-08-07,,line,
Server Load 2,42.23,2024-08-08,,line,
Server Load 2,37.48,2024-08-09,,line,
Server Load 2,40.49,2024-08-10,,line,
Server Load 2,35.64,2024-08-11,,line,
Server Load 2,39.68,2024-08-12,,line,
Server Load 2,34.93,2024-08-13,,line,
Server Load 2,33.33,2024-08-14,,line,
Server Load 2,28.50,2024-08-15,,line,
Server Load 2,29.40,2024-08-16,,line,
Server Load 2,31.02,2024-08-17,,line,
Server Load 2,34.40,2024-08-18,,line,
Server Load 2,34.06,2024-08-19,,line,
Server Load 2,35.01,2024-08-20,,line,
Server Load 2,31.94,2024-08-21,,line,
Server Load 2,32.65,2024-08-22,,line,
Server Load 2,35.52,2024-08-23,,line,
Server Load 2,39.09,2024-08-24,,line,
Server Load 2,41.84,2024-08-25,,line,
Server Load 2,41.47,2024-08-26,,line,
Server Load 2,44.09,2024-08-27,,line,
Server Load 2,41.78,2024-08-28,,line,
Server Load 2,38.29,2024-08-29,,line,
Server Load 2,41.62,2024-08-30,,line,
Server Load 2,40.81,2024-08-31,,line,
Server Load 2,45.38,2024-09-01,,line,
Server Load 2,46.87,2024-09-02,,line,
Server Load 2,49.11,2024-09-03,,line,
Server Load 2,47.16,2024-09-04,,line,
Server Load 2,44.78,2024-09-05,,line,
Server Load 2,42.43,2024-09-06,,line,
Server Load 2,44.55,2024-09-07,,line,
Server Load 2,48.12,2024-09-08,,line,
Server Load 2,53.03,2024-09-09,,line,
Server Load 2,55.09,2024-09-10,,line,
Server Load 2,59.31,2024-09-11,,line,
Server Load 2,57.05,2024-09-12,,line,
Server Load 2,53.33,2024-09-13,,line,
Server Load 2,56.68,2024-09-14,,line,
Server Load 2,54.71,2024-09-15,,line,
Server Load 2,54.21,2024-09-16,,line,
Server Load 2,58.64,2024-09-17,,line,
Server Load 2,55.14,2024-09-18,,line,
Server Load 2,56.22,2024-09-19,,line,
Server Load 2,51.47,2024-09-20,,line,
Server Load 2,52.80,2024-09-21,,line,
Server Load 2,50.14,2024-09-22,,line,
Server Load 2,51.19,2024-09-23,,line,
Server Load 2,53.40,2024-09-24,,line,
Server Load 2,52.51,2024-09-25,,line,
Server Load 2,55.11,2024-09-26,,line,
Server Load 2,54.37,2024-09-27,,line,
Server Load 2,53.41,2024-09-28,,line,
Server Load 2,52.51,2024-09-29,,line,
Server Load 2,54.56,2024-09-30,,line,
Server Load 2,55.91,2024-10-01,,line,
Server Load 2,59.28,2024-10-02,,line,
Server Load 2,58.64,2024-10-03,,line,
Server Load 2,63.47,2024-10-04,,line,
Server Load 2,66.87,2024-10-05,,line,
Server Load 2,71.39,2024-10-06,,line,
Server Load 2,76.05,2024-10-07,,line,
Server Load 2,79.27,2024-10-08,,line,
Server Load 2,79.20,2024-10-09,,line,
Server Load 2,81.57,2024-10-10,,line,
Server Load 2,83.67,2024-10-11,,line,
Server Load 2,86.32,2024-10-12,,line,
Server Load 2,89.88,2024-10-13,,line,
Server Load 2,93.99,2024-10-14,,line,
Server Load 2,92.38,2024-10-15,,line,
Server Load 2,90.45,2024-10-16,,line,
Server Load 2,85.65,2024-10-17,,line,
Server Load 2,83.32,2024-10-18,,line,
Server Load 2,85.10,2024-10-19,,line,
Server Load 2,85.98,2024-10-20,,line,
Server Load 2,81.39,2024-10-21,,line,
Server Load 2,80.54,2024-10-22,,line,
Server Load 2,82.39,2024-10-23,,line,
Server Load 2,78.67,2024-10-24,,line,
Server Load 2,76.49,2024-10-25,,line,
Server Load 2,79.75,2024-10-26,,line,
Server Load 2,75.84,2024-10-27,,line,
Server Load 2,78.79,2024-10-28,,line,
Server Load 2,82.24,2024-10-29,,line,
Server Load 2,78.10,2024-10-30,,line,
Server Load 2,81.71,2024-10-31,,line,
Server Load 2,77.40,2024-11-01,,line,
Server Load 2,81.96,2024-11-02,,line,
Server Load 2,84.73,2024-11-03,,line,
Server Load 2,88.60,2024-11-04,,line,
Server Load 2,91.40,2024-11-05,,line,
Server Load 2,86.58,2024-11-06,,line,
Server Load 2,86.88,2024-11-07,,line,
Server Load 2,85.00,2024-11-08,,line,
Server Load 3,48.51,2024-08-01,,line,
Server Load 3,52.69,2024-08-02,,line,
Server Load 3,50.40,2024-08-03,,line,
Server Load 3,54.17,2024-08-04,,line,
Server Load 3,51.77,2024-08-05,,line,
Server Load 3,47.39,2024-08-06,,line,
Server Load 3,45.09,2024-08-07,,line,
Server Load 3,47.13,2024-08-08,,line,
Server Load 3,50.21,2024-08-09,,line,
Server Load 3,51.89,2024-08-10,,line,
Server Load 3,54.89,2024-08-11,,line,
Server Load 3,52.29,2024-08-12,,line,
Server Load 3,50.48,2024-08-13,,line,
Server Load 3,51.99,2024-08-14,,line,
Server Load 3,48.09,2024-08-15,,line,
Server Load 3,46.63,2024-08-16,,line,
Server Load 3,49.97,2024-08-17,,line,
Server Load 3,51.32,2024-08-18,,line,
Server Load 3,50.65,2024-08-19,,line,
Server Load 3,50.51,2024-08-20,,line,
Server Load 3,54.49,2024-08-21,,line,
Server Load 3,55.53,2024-08-22,,line,
Server Load 3,59.18,2024-08-23,,line,
Server Load 3,55.92,2024-08-24,,line,
Server Load 3,58.47,2024-08-25,,line,
Server Load 3,57.91,2024-08-26,,line,
Server Load 3,53.20,2024-08-27,,line,
Server Load 3,48.31,2024-08-28,,line,
Server Load 3,44.38,2024-08-29,,line,
Server Load 3,47.62,2024-08-30,,line,
Server Load 3,46.24,2024-08-31,,line,
Server Load 3,49.51,2024-09-01,,line,
Server Load 3,47.03,2024-09-02,,line,
Server Load 3,52.01,2024-09-03,,line,
Server Load 3,49.74,2024-09-04,,line,
Server Load 3,50.04,2024-09-05,,line,
Server Load 3,48.32,2024-09-06,,line,
Server Load 3,51.75,2024-09-07,,line,
Server Load 3,48.77,2024-09-08,,line,
Server Load 3,52.56,2024-09-09,,line,
Server Load 3,49.08,2024-09-10,,line,
Server Load 3,45.77,2024-09-11,,line,
Server Load 3,47.78,2024-09-12,,line,
Server Load 3,48.23,2024-09-13,,line,
Server Load 3,44.37,2024-09-14,,line,
Server Load 3,45.35,2024-09-15,,line,
Server Load 3,40.89,2024-09-16,,line,
Server Load 3,39.42,2024-09-17,,line,
Server Load 3,36.38,2024-09-18,,line,
Server Load 3,37.70,2024-09-19,,line,
Server Load 3,35.29,2024-09-20,,line,
Server Load 3,31.20,2024-09-21,,line,
Server Load 3,29.01,2024-09-22,,line,
Server Load 3,30.67,2024-09-23,,line,
Server Load 3,34.32,2024-09-24,,line,
Server Load 3,33.53,2024-09-25,,line,
Server Load 3,37.52,2024-09-26,,line,
Server Load 3,42.10,2024-09-27,,line,
Server Load 3,37.77,2024-09-28,,line,
Server Load 3,37.92,2024-09-29,,line,
Server Load 3,37.26,2024-09-30,,line,
Server Load 3,34.02,2024-10-01,,line,
Server Load 3,31.11,2024-10-02,,line,
Server Load 3,35.49,2024-10-03,,line,
Server Load 3,39.65,2024-10-04,,line,
Server Load 3,37.78,2024-10-05,,line,
Server Load 3,40.52,2024-10-06,,line,
Server Load 3,42.55,2024-10-07,,line,
Server Load 3,39.36,2024-10-08,,line,
Server Load 3,36.40,2024-10-09,,line,
Server Load 3,33.06,2024-10-10,,line,
Server Load 3,37.85,2024-10-11,,line,
Server Load 3,34.52,2024-10-12,,line,
Server Load 3,37.72,2024-10-13,,line,
Server Load 3,41.03,2024-10-14,,line,
Server Load 3,43.07,2024-10-15,,line,
Server Load 3,39.95,2024-10-16,,line,
Server Load 3,43.48,2024-10-17,,line,
Server Load 3,40.67,2024-10-18,,line,
Server Load 3,37.73,2024-10-19,,line,
Server Load 3,35.68,2024-10-20,,line,
Server Load 3,32.86,2024-10-21,,line,
Server Load 3,28.96,2024-10-22,,line,
Server Load 3,24.64,2024-10-23,,line,
Server Load 3,28.75,2024-10-24,,line,
